Decision,anger,fear,anticipation,trust,surprise,sadness,joy,disgust,positive,negative
truthful,0.00952381,0.00952381,0.019047619,0.019047619,0.00952381,0.019047619,0.038095238,0,0.057142857,0.028571429
truthful,0,0,0,0,0,0,0,0,0.066666667,0
truthful,0.004830918,0.004830918,0.024154589,0.043478261,0.004830918,0.014492754,0.028985507,0.004830918,0.057971014,0.019323671
truthful,0,0.007874016,0.007874016,0.031496063,0.007874016,0.007874016,0.015748031,0.007874016,0.039370079,0.015748031
truthful,0,0,0.027777778,0.055555556,0.027777778,0,0.041666667,0,0.069444444,0
truthful,0.005464481,0.005464481,0,0.005464481,0,0.010928962,0.005464481,0.005464481,0.021857923,0.021857923
truthful,0.016949153,0.016949153,0.016949153,0.050847458,0.016949153,0,0.059322034,0.008474576,0.093220339,0.033898305
truthful,0.007633588,0,0.045801527,0.045801527,0.015267176,0,0.061068702,0,0.099236641,0.015267176
truthful,0.012195122,0.012195122,0.024390244,0.024390244,0.012195122,0.012195122,0.030487805,0.012195122,0.036585366,0.018292683
truthful,0,0,0,0.023255814,0,0,0.046511628,0,0.069767442,0
truthful,0.013422819,0,0.030201342,0.023489933,0.006711409,0.003355705,0.016778523,0,0.063758389,0.026845638
truthful,0,0.00952381,0.047619048,0.057142857,0.066666667,0.019047619,0.066666667,0.00952381,0.095238095,0.00952381
truthful,0.006535948,0.006535948,0.009803922,0.013071895,0,0.009803922,0.009803922,0.003267974,0.026143791,0.009803922
truthful,0.010526316,0.010526316,0.042105263,0.073684211,0.042105263,0.021052632,0.052631579,0.021052632,0.063157895,0.021052632
truthful,0.005194805,0.005194805,0.033766234,0.018181818,0.002597403,0.005194805,0.015584416,0,0.036363636,0.01038961
truthful,0,0,0.03030303,0.045454545,0.015151515,0,0.060606061,0,0.090909091,0
truthful,0.018518519,0.018518519,0.092592593,0.111111111,0.018518519,0.018518519,0.092592593,0.018518519,0.12962963,0.018518519
truthful,0,0,0.03030303,0.03030303,0,0,0.075757576,0,0.090909091,0.015151515
truthful,0,0,0.014634146,0,0.004878049,0,0,0,0.014634146,0.009756098
truthful,0.011363636,0.011363636,0.045454545,0.068181818,0.034090909,0.011363636,0.056818182,0.011363636,0.068181818,0.011363636
truthful,0,0,0.023255814,0.058139535,0.011627907,0,0.058139535,0,0.081395349,0.011627907
truthful,0,0,0.00729927,0.00729927,0,0,0.00729927,0,0.02919708,0.00729927
truthful,0,0,0.022222222,0.066666667,0.022222222,0.044444444,0.022222222,0,0.066666667,0.022222222
truthful,0,0.011363636,0.022727273,0.068181818,0.011363636,0,0.034090909,0,0.079545455,0.022727273
truthful,0.040540541,0.013513514,0.067567568,0.067567568,0.054054054,0,0.054054054,0,0.108108108,0.027027027
truthful,0,0,0.020547945,0.02739726,0.006849315,0,0.02739726,0.006849315,0.047945205,0
truthful,0,0,0.024390244,0.036585366,0.012195122,0,0.036585366,0,0.036585366,0
truthful,0,0,0.024096386,0.048192771,0,0,0.048192771,0,0.048192771,0.012048193
truthful,0.010752688,0,0.021505376,0.037634409,0.016129032,0.005376344,0.043010753,0.005376344,0.053763441,0.021505376
truthful,0,0,0.007042254,0.035211268,0,0,0.021126761,0,0.056338028,0.007042254
truthful,0,0,0.066666667,0.1,0.066666667,0,0.066666667,0.033333333,0.1,0.033333333
truthful,0,0,0.020833333,0.020833333,0.010416667,0.010416667,0.03125,0,0.041666667,0
truthful,0.019230769,0.009615385,0.028846154,0.028846154,0.019230769,0.009615385,0.019230769,0.019230769,0.067307692,0.048076923
truthful,0.017857143,0.008928571,0.023809524,0.041666667,0.014880952,0.011904762,0.041666667,0,0.077380952,0.023809524
truthful,0,0,0.01010101,0.050505051,0,0.01010101,0.04040404,0,0.111111111,0
truthful,0,0,0.030769231,0.046153846,0,0,0.046153846,0,0.061538462,0.015384615
truthful,0,0,0.030769231,0.107692308,0.030769231,0.015384615,0.076923077,0,0.138461538,0
truthful,0,0,0.032258065,0.064516129,0.032258065,0,0.064516129,0,0.064516129,0
truthful,0,0,0.018018018,0.045045045,0.009009009,0,0.045045045,0,0.072072072,0
truthful,0,0,0,0,0,0,0.042553191,0,0.042553191,0
truthful,0,0,0,0.021052632,0,0.010526316,0.031578947,0,0.042105263,0
truthful,0.019607843,0,0.019607843,0.039215686,0.013071895,0.013071895,0.032679739,0,0.039215686,0.026143791
truthful,0.011173184,0.005586592,0.039106145,0.027932961,0.027932961,0.011173184,0.033519553,0.005586592,0.039106145,0.016759777
truthful,0.007936508,0.007936508,0.023809524,0.047619048,0.047619048,0,0.03968254,0,0.063492063,0.007936508
truthful,0,0,0.023255814,0.023255814,0,0,0.023255814,0,0.023255814,0
truthful,0,0,0.013422819,0.020134228,0,0,0.026845638,0,0.040268456,0
truthful,0,0,0.051724138,0.043103448,0.017241379,0.00862069,0.034482759,0,0.060344828,0.00862069
truthful,0,0,0.013157895,0.052631579,0.013157895,0.013157895,0.026315789,0.013157895,0.078947368,0.039473684
truthful,0,0,0,0.020833333,0,0.020833333,0.010416667,0,0.0625,0.041666667
truthful,0.008,0.008,0,0.016,0.008,0.008,0.016,0.008,0.016,0.016
truthful,0,0,0.040322581,0.056451613,0.024193548,0,0.056451613,0,0.056451613,0.008064516
truthful,0.006097561,0.012195122,0.006097561,0.018292683,0.024390244,0,0.030487805,0,0.091463415,0.012195122
