index,Decision,Sentiment,anger,fear,anticipation,trust,surprise,sadness,joy,disgust,positive,negative,n count,wrd count,lstm
1234,deceptive,0,0.03030303,0.02020202,0.055555556,0.055555556,0.055555556,0.015151515,0.045454545,0.03030303,0.060606061,0.04040404,0.188118812,0.393939,0
136,truthful,1,0.008474576,0.016949153,0.050847458,0.042372881,0.025423729,0.008474576,0.033898305,0,0.059322034,0.016949153,0.262711864,0.348485,1
202,truthful,1,0,0,0,0.00877193,0.00877193,0.00877193,0.00877193,0,0.052631579,0.00877193,0.205128205,0.212121,1
1261,deceptive,0,0.021126761,0.007042254,0.035211268,0.028169014,0.014084507,0.007042254,0.028169014,0.014084507,0.049295775,0.014084507,0.232394366,0.242424,0
1278,deceptive,0,0.042553191,0.021276596,0,0.010638298,0,0.021276596,0,0.063829787,0.021276596,0.074468085,0.255319149,0.212121,0
1151,truthful,1,0.010638298,0.005319149,0.021276596,0.026595745,0.015957447,0.021276596,0.021276596,0.021276596,0.037234043,0.026595745,0.220430108,0.30303,1
642,deceptive,0,0,0,0.046153846,0.061538462,0.015384615,0,0.076923077,0,0.076923077,0,0.323076923,0.212121,0
985,truthful,1,0.003597122,0.007194245,0.039568345,0.043165468,0.014388489,0.014388489,0.021582734,0.014388489,0.061151079,0.021582734,0.209219858,0.363636,1
451,deceptive,0,0,0,0,0.041666667,0,0,0.041666667,0,0.097222222,0.013888889,0.287671233,0.227273,0
815,truthful,1,0.013274336,0.004424779,0.039823009,0.039823009,0.017699115,0.008849558,0.017699115,0.004424779,0.048672566,0.022123894,0.144736842,0.333333,1
739,deceptive,0,0,0,0.033333333,0.066666667,0,0,0.033333333,0,0.133333333,0,0.366666667,0.136364,0
971,truthful,1,0.01300813,0.011382114,0.017886179,0.047154472,0.01300813,0.022764228,0.01300813,0.01300813,0.045528455,0.03902439,0.250403877,0.515152,1
24,truthful,1,0.040540541,0.027027027,0.067567568,0.067567568,0.054054054,0.013513514,0.054054054,0,0.108108108,0.040540541,0.310810811,0.090909,1
1455,deceptive,0,0,0.005050505,0.035353535,0.060606061,0.050505051,0.005050505,0.045454545,0.005050505,0.090909091,0.02020202,0.237373737,0.30303,0
317,truthful,1,0.007246377,0.007246377,0.02173913,0.036231884,0.007246377,0.02173913,0.028985507,0,0.079710145,0.02173913,0.307142857,0.257576,1
1159,truthful,1,0,0.00877193,0.00877193,0.030701754,0.004385965,0.013157895,0.013157895,0,0.039473684,0.01754386,0.242424242,0.287879,1
851,truthful,1,0.012195122,0.012195122,0.012195122,0.048780488,0.012195122,0.024390244,0.024390244,0.06097561,0.048780488,0.085365854,0.268292683,0.075758,1
712,deceptive,0,0.007692308,0.003846154,0.023076923,0.038461538,0.007692308,0.003846154,0.034615385,0,0.065384615,0.015384615,0.226923077,0.454545,0
1428,deceptive,0,0.005988024,0.005988024,0.011976048,0.02994012,0,0,0.023952096,0.005988024,0.065868263,0.011976048,0.257309942,0.19697,0
805,truthful,1,0.011080332,0.013850416,0.030470914,0.047091413,0.027700831,0.013850416,0.019390582,0.011080332,0.041551247,0.024930748,0.247252747,0.424242,1
107,truthful,1,0,0.010989011,0.010989011,0.043956044,0,0,0.054945055,0,0.076923077,0.010989011,0.311827957,0.166667,1
548,deceptive,0,0.009803922,0.009803922,0.029411765,0.019607843,0.009803922,0.009803922,0.029411765,0.009803922,0.088235294,0.009803922,0.245098039,0.166667,0
1469,deceptive,0,0.033112583,0.006622517,0.033112583,0.033112583,0.01986755,0.006622517,0.01986755,0.01986755,0.026490066,0.039735099,0.246753247,0.287879,0
1137,truthful,1,0.007142857,0.007142857,0.028571429,0.035714286,0.007142857,0.007142857,0.021428571,0,0.028571429,0.035714286,0.253521127,0.19697,1
1345,deceptive,0,0.012578616,0,0.018867925,0.031446541,0,0.006289308,0.025157233,0.012578616,0.044025157,0.018867925,0.25308642,0.242424,0
1163,truthful,1,0.004975124,0.009950249,0.029850746,0.019900498,0.004975124,0.009950249,0.014925373,0.004975124,0.034825871,0.019900498,0.235,0.242424,1
1433,deceptive,0,0.014705882,0.029411765,0,0,0,0.014705882,0,0.014705882,0.044117647,0.029411765,0.279411765,0.106061,0
398,truthful,1,0,0,0,0.013888889,0.013888889,0,0.027777778,0,0.041666667,0,0.416666667,0.166667,1
1385,deceptive,0,0.010273973,0,0.020547945,0.020547945,0.020547945,0.017123288,0.01369863,0.003424658,0.037671233,0.044520548,0.194539249,0.409091,0
946,truthful,1,0.024390244,0.040650407,0.024390244,0.016260163,0.016260163,0.040650407,0.024390244,0.048780488,0.032520325,0.089430894,0.260162602,0.272727,1
563,deceptive,0,0,0.003968254,0.043650794,0.063492063,0.011904762,0,0.051587302,0.007936508,0.099206349,0.011904762,0.223529412,0.636364,0
103,truthful,1,0,0,0,0.025974026,0,0.012987013,0.012987013,0,0.025974026,0,0.376623377,0.106061,1
1535,deceptive,0,0.010050251,0.010050251,0.005025126,0.040201005,0.005025126,0.010050251,0.035175879,0.010050251,0.090452261,0.040201005,0.225,0.530303,0
884,truthful,1,0.006993007,0.006993007,0.006993007,0.020979021,0.020979021,0.020979021,0.006993007,0.013986014,0.027972028,0.027972028,0.212328767,0.242424,1
570,deceptive,0,0,0.012987013,0.012987013,0.051948052,0.012987013,0.012987013,0.064935065,0,0.077922078,0.012987013,0.181818182,0.227273,0
100,truthful,1,0,0,0.01010101,0.02020202,0,0,0.02020202,0,0.02020202,0,0.272727273,0.181818,1
1393,deceptive,0,0.021276596,0.007092199,0.010638298,0.021276596,0.010638298,0.017730496,0.014184397,0.024822695,0.035460993,0.046099291,0.229681979,0.363636,0
1531,deceptive,0,0.00862069,0,0.034482759,0.025862069,0.00862069,0,0.017241379,0.00862069,0.068965517,0.025862069,0.20661157,0.30303,0
1285,deceptive,0,0,0.006666667,0.04,0.046666667,0.026666667,0,0.02,0,0.08,0.013333333,0.226666667,0.227273,0
778,deceptive,0,0,0,0.068965517,0.08045977,0,0.011494253,0.057471264,0,0.103448276,0.034482759,0.247191011,0.151515,0
498,deceptive,0,0,0,0,0.060606061,0,0,0.060606061,0,0.060606061,0,0.212121212,0.090909,0
1085,truthful,1,0.015503876,0.007751938,0.031007752,0.031007752,0.007751938,0.015503876,0.03875969,0.015503876,0.069767442,0.023255814,0.294573643,0.19697,1
713,deceptive,0,0.013986014,0.006993007,0.041958042,0.041958042,0.041958042,0.006993007,0.041958042,0.006993007,0.055944056,0.013986014,0.23943662,0.439394,0
1414,deceptive,0,0.032467532,0.019480519,0.051948052,0.025974026,0.012987013,0.025974026,0.019480519,0.032467532,0.038961039,0.071428571,0.251612903,0.454545,0
332,truthful,1,0,0.018018018,0.045045045,0.009009009,0.009009009,0,0.018018018,0,0.054054054,0.027027027,0.281818182,0.30303,1
221,truthful,1,0.003424658,0.010273973,0.023972603,0.020547945,0.010273973,0.010273973,0.017123288,0.003424658,0.030821918,0.017123288,0.274576271,0.484848,1
423,deceptive,0,0.016949153,0.016949153,0.050847458,0.06779661,0.033898305,0.033898305,0.06779661,0.016949153,0.06779661,0.033898305,0.220338983,0.227273,0
1582,deceptive,0,0.009345794,0.018691589,0.046728972,0.028037383,0.018691589,0.009345794,0.028037383,0,0.065420561,0.018691589,0.165137615,0.121212,0
466,deceptive,0,0.02020202,0.01010101,0.04040404,0.04040404,0.04040404,0.02020202,0.04040404,0.01010101,0.080808081,0.03030303,0.245098039,0.121212,0
