Decision,anger,fear,anticipation,trust,surprise,sadness,joy,disgust,positive,negative,Noun 
truthful,0.00952381,0.00952381,0.019047619,0.028571429,0.00952381,0.019047619,0.047619048,0,0.066666667,0.028571429,0.287037037
truthful,0,0,0.022222222,0.044444444,0.022222222,0,0.022222222,0,0.111111111,0,0.4
truthful,0.004830918,0.014492754,0.033816425,0.057971014,0.024154589,0.033816425,0.043478261,0.004830918,0.09178744,0.033816425,0.236966825
truthful,0.007874016,0.015748031,0.023622047,0.05511811,0.015748031,0.015748031,0.031496063,0.015748031,0.05511811,0.031496063,0.356589147
truthful,0,0,0.027777778,0.055555556,0.027777778,0,0.041666667,0,0.055555556,0,0.205479452
truthful,0.005464481,0.005464481,0.005464481,0.010928962,0,0.010928962,0.005464481,0.005464481,0.038251366,0.027322404,0.268156425
truthful,0.016949153,0.025423729,0.025423729,0.059322034,0.016949153,0,0.059322034,0.008474576,0.110169492,0.033898305,0.351351351
truthful,0.007633588,0,0.053435115,0.061068702,0.022900763,0,0.076335878,0,0.114503817,0.015267176,0.290076336
truthful,0.012195122,0.012195122,0.036585366,0.036585366,0.030487805,0.024390244,0.030487805,0.012195122,0.042682927,0.030487805,0.224242424
truthful,0,0,0,0.034883721,0,0,0.046511628,0,0.081395349,0,0.341176471
truthful,0.013422819,0.003355705,0.033557047,0.026845638,0.010067114,0.006711409,0.020134228,0,0.073825503,0.030201342,0.239726027
truthful,0,0.019047619,0.057142857,0.057142857,0.066666667,0.019047619,0.066666667,0.00952381,0.095238095,0.00952381,0.285714286
truthful,0.013071895,0.009803922,0.016339869,0.013071895,0.003267974,0.013071895,0.016339869,0.003267974,0.039215686,0.019607843,0.189102564
truthful,0.021052632,0.021052632,0.042105263,0.052631579,0.042105263,0.021052632,0.042105263,0.021052632,0.052631579,0.021052632,0.25
truthful,0.005194805,0.005194805,0.031168831,0.023376623,0.002597403,0.007792208,0.018181818,0,0.044155844,0.01038961,0.242966752
truthful,0,0,0.03030303,0.045454545,0.015151515,0,0.060606061,0,0.106060606,0,0.272727273
truthful,0.018518519,0.018518519,0.092592593,0.12962963,0.018518519,0.018518519,0.111111111,0.018518519,0.148148148,0.018518519,0.296296296
truthful,0,0,0.03030303,0.03030303,0,0,0.090909091,0,0.106060606,0.015151515,0.179104478
truthful,0,0,0.019512195,0.004878049,0.004878049,0,0.004878049,0,0.024390244,0.009756098,0.246376812
truthful,0,0,0.034090909,0.056818182,0.034090909,0,0.045454545,0,0.079545455,0,0.261363636
truthful,0,0.011627907,0.046511628,0.069767442,0.011627907,0,0.069767442,0,0.104651163,0,0.220930233
truthful,0,0,0.01459854,0.00729927,0,0,0.00729927,0,0.058394161,0.00729927,0.194244604
truthful,0,0,0.022222222,0.066666667,0.022222222,0.022222222,0.022222222,0,0.066666667,0,0.204545455
truthful,0,0.011363636,0.034090909,0.102272727,0.011363636,0,0.068181818,0,0.113636364,0.022727273,0.325842697
truthful,0.040540541,0.027027027,0.067567568,0.067567568,0.054054054,0.013513514,0.054054054,0,0.108108108,0.040540541,0.310810811
truthful,0,0,0.034246575,0.02739726,0.006849315,0,0.02739726,0.006849315,0.054794521,0.006849315,0.340136054
truthful,0,0,0.036585366,0.048780488,0.012195122,0.024390244,0.036585366,0,0.048780488,0.024390244,0.180722892
truthful,0,0,0.036144578,0.048192771,0,0,0.048192771,0,0.060240964,0.012048193,0.190476191
truthful,0.005376344,0,0.02688172,0.037634409,0.016129032,0,0.043010753,0,0.059139785,0.010752688,0.238095238
truthful,0,0.007042254,0.007042254,0.035211268,0,0.007042254,0.021126761,0,0.063380282,0.014084507,0.1875
truthful,0,0,0.066666667,0.066666667,0.033333333,0,0.066666667,0,0.1,0.033333333,0.310344828
truthful,0,0,0.020833333,0.010416667,0.010416667,0.010416667,0.010416667,0,0.041666667,0,0.333333333
truthful,0.019230769,0,0.038461538,0.028846154,0.019230769,0,0.019230769,0.009615385,0.057692308,0.048076923,0.259615385
truthful,0.014880952,0.008928571,0.035714286,0.047619048,0.011904762,0.011904762,0.047619048,0,0.086309524,0.026785714,0.244776119
truthful,0,0,0.01010101,0.050505051,0,0.01010101,0.04040404,0,0.131313131,0,0.212121212
truthful,0,0,0.030769231,0.046153846,0,0,0.046153846,0,0.092307692,0.015384615,0.235294118
truthful,0,0,0.015384615,0.107692308,0.030769231,0.015384615,0.092307692,0,0.153846154,0,0.176470588
truthful,0,0,0.032258065,0.080645161,0.048387097,0,0.080645161,0,0.080645161,0,0.338709677
truthful,0,0,0.036036036,0.063063063,0.009009009,0.009009009,0.054054054,0,0.108108108,0,0.279279279
truthful,0.021276596,0,0,0,0,0,0.042553191,0,0.042553191,0.021276596,0.340425532
truthful,0,0,0.021052632,0.052631579,0.021052632,0.021052632,0.052631579,0,0.063157895,0,0.263157895
truthful,0.026143791,0.006535948,0.026143791,0.039215686,0.013071895,0.019607843,0.039215686,0.006535948,0.058823529,0.032679739,0.246753247
truthful,0.011173184,0.005586592,0.039106145,0.039106145,0.027932961,0.005586592,0.044692737,0.005586592,0.055865922,0.016759777,0.338888889
truthful,0.007936508,0,0.015873016,0.063492063,0.047619048,0,0.047619048,0.007936508,0.071428571,0.007936508,0.234375
truthful,0,0,0.046511628,0.046511628,0.023255814,0,0.046511628,0,0.069767442,0,0.279069767
truthful,0.006711409,0,0.026845638,0.026845638,0.006711409,0,0.033557047,0,0.053691275,0.013422819,0.248322148
truthful,0.00862069,0,0.051724138,0.043103448,0.017241379,0.00862069,0.043103448,0,0.068965517,0.017241379,0.218487395
truthful,0,0,0.013157895,0.052631579,0.013157895,0.013157895,0.026315789,0.013157895,0.078947368,0.039473684,0.328947368
truthful,0,0,0.020833333,0.03125,0.010416667,0.020833333,0.020833333,0,0.0625,0.03125,0.239583333
